SellerSKU,ASIN,Region,SalesChannel,Date,Title
13PBR-F10B-4FT,B08CZY9SC3,UK,AMAZON.CO.UK,2022-06-26,"RDX Punch Bag Anti Swing 4ft 5ft Heavy Filled 13PC Set, Maya Hide Leather Adult Bag with Ceiling Hook Punching Gloves Chains Wraps, Kickboxing Boxing"
13PBR-F10W-ES-5FT,B076ZL9M1L,ES,AMAZON.ES,2022-07-04,RDX Saco de Boxeo Relleno MMA Muay Thai Kick Boxing Artes Marciales con Soporte Techo Guantes Cadena 13PC 4FT 5FT Punching Bag
13PBR-F6MB-IT-4FT,B08N1JHY38,IT,AMAZON.IT,2022-06-20,"RDX Sacco da Boxe Pieno Adulti 4FT 5FT, 13PC Maya Hide Pelle Anti Oscillazione Pesante Bag Set con Guantoni Gancio Soffitto, Arti Marziali Pugilato Ki"
13PBR-F6MGL-IT-4FT,B08N1HXXDW,IT,AMAZON.IT,2022-06-30,"RDX Sacco da Boxe Pieno Adulti 4FT 5FT, 13PC Maya Hide Pelle Anti Oscillazione Pesante Bag Set con Guantoni Gancio Soffitto, Arti Marziali Pugilato Ki"
13PBR-F6MP-ES-4FT,B08N1KG23Q,ES,AMAZON.ES,2022-06-26,"RDX Saco de Boxeo Adulto Relleno 5ft 4ft, 13PC Cuero Maya Hide Anti Swing Punching Bag Set con Guantes, Gancio, Bolsa Pesada para Artes Marciales Muay"
13PBR-F6MR-DE-4FT,B08N1HQDQL,DE,AMAZON.DE,2022-07-06,"RDX Boxsack Gefüllt 13PC Set, 4ft 5ft Erwachsene Anti Schwerkraft Maya Hide Leder Punchingsäcke mit Boxhandschuhe Deckenhaken, Boxen Kampfsport Kick"
13PBR-F6MR-IT-4FT,B08N1HQDQL,IT,AMAZON.IT,2022-06-30,"RDX Sacco da Boxe Pieno Adulti 4FT 5FT, 13PC Maya Hide Pelle Anti Oscillazione Pesante Bag Set con Guantoni Gancio Soffitto, Arti Marziali Pugilato Ki"
13PBR-F6MR-IT-5FT,B08N1JCDHL,IT,AMAZON.IT,2022-06-21,"RDX Sacco da Boxe Pieno Adulti 4FT 5FT, 13PC Maya Hide Pelle Anti Oscillazione Pesante Bag Set con Guantoni Gancio Soffitto, Arti Marziali Pugilato Ki"
13PBR-F6MW-4FT,B08N1JYJXD,UK,AMAZON.CO.UK,2022-06-25,"RDX Punch Bag Anti Swing 4ft 5ft Heavy Filled 13PC Set, Maya Hide Leather Adult Bag with Ceiling Hook Punching Gloves Chains Wraps, Kickboxing Boxing"
13PBR-F6MW-IT-5FT,B08N1GQVWR,IT,AMAZON.IT,2022-06-28,"RDX Sacco da Boxe Pieno Adulti 4FT 5FT, 13PC Maya Hide Pelle Anti Oscillazione Pesante Bag Set con Guantoni Gancio Soffitto, Arti Marziali Pugilato Ki"
13PBR-F9RB-5FT-DE,B076X3DVV4,DE,AMAZON.DE,2022-07-05,"RDX Boxsack Gefüllt 13PC Set, 5ft 4ft Erwachsene Anti Schwerkraft Maya Hide Leder Punchingsäcke mit Boxhandschuhe Deckenhaken, Boxen Kampfsport Kick"
13PBR-X1B-5FT-N,B01MPY3GB0,UK,AMAZON.CO.UK,2022-07-05,"RDX Punch Bag Anti Swing 5ft 4ft Heavy Filled 13PC Set, Maya Hide Leather Adult Bag with Ceiling Hook Punching Gloves Chains Wraps, Kickboxing Boxing"
13PBR-X1B-ES-NEW-5FT,B08BTYRLS4,ES,AMAZON.ES,2022-07-04,RDX Saco de Boxeo Relleno MMA Muay Thai Kick Boxing Artes Marciales con Soporte Techo Guantes Cadena 13PC 4FT 5FT Punching Bag
13PCPUNCHBAGFULLBLACK-UK-4FT,B005Y0L5K0,UK,AMAZON.CO.UK,2022-09-23,"RDX Professional Anti Swing Filled 5FT 4FT Punch Bag Set, 7pc Maya Hide Leather Heavy Punching Bag with Gloves Wall Bracket Hanging Chains etc. Boxing MMA Kickboxing Adult Fitness Gym Home"
17PBF1-F10-DE-4FT,B08H8388BH,DE,AMAZON.DE,2022-07-14,"RDX Boxsack Gefüllt 7PC Set, 5ft 4ft Erwachsene Anti Schwerkraft Maya Hide Leder Punchingsäcke mit Boxhandschuhe Wand, Boxen Kampfsport Kickboxen Mu"
17PBR-F10W-4FT-DE,B076WZXSFK,DE,AMAZON.DE,2022-10-06,"RDX Boxsack Gefüllt 7PC Set, 4ft 5ft Erwachsene Anti Schwerkraft Maya Hide Leder Punchingsäcke mit Boxhandschuhe Wandhalterung, Boxen Kampfsport Kickboxen Muay Thai MMA Training Bag, Heim Gym Fitness"
17PBR-F10W-5FT,B076WNVW4T,UK,AMAZON.CO.UK,2023-11-07,"RDX Professional Anti Swing Filled 5FT 4FT Punch Bag Set, 4 PC Maya Hide Leather Heavy Punching Bag with Gloves Wall Bracket Hanging Chains etc. Boxing MMA Kickboxing Adult Home Fitness Gym"
17PBR-F10W-IT-4FT,B076WZXSFK,IT,AMAZON.IT,2022-09-26,"RDX Sacco da Boxe Pieno Adulti 5FT 4FT, 7PC Maya Hide Pelle Anti Oscillazione Pesante Bag Set con Guantoni Supporto Muro, Arti Marziali Pugilato Kick Boxing Muay Thai Palestra Punch Sacchi"
17PBR-F10W-IT-5FT,B076WNVW4T,IT,AMAZON.IT,2023-06-21,"RDX Sacco da Boxe Pieno Adulti 5FT 4FT, 4PC Maya Hide Pelle Anti Oscillazione Pesante Bag Set con Guantoni Supporto Muro, Arti Marziali Pugilato Kick Boxing Muay Thai Palestra Punch Sacchi"
17PBR-F6MB-IT-5FT,B08MWSLSJ6,IT,AMAZON.IT,2025-03-01,"RDX Sacco da Boxe Pieno Adulti 5FT, 4PC Maya Hide Pelle Anti Oscillazione Pesante Bag Set con Guantoni Supporto Muro, Arti Marziali Pugilato Muay Thai Kick Boxing Palestra Punch Sacchi."
17PBR-F6MP-DE-4FT,B08MWVBK78,DE,AMAZON.DE,2023-09-15,"RDX Boxsack Gefüllt 4PC Set, 4ft 5ft Erwachsene Anti Schwerkraft Maya Hide Leder Punchingsäcke mit Boxhandschuhe Wandhalterung, Boxen Kampfsport Kickboxen Muay Thai MMA Training Bag, Heim Gym Fitness"
17PBR-F6MP-IT-4FT,B08MWVBK78,IT,AMAZON.IT,2023-05-31,"RDX Sacco da Boxe Pieno Adulti 5FT 4FT, 4PC Maya Hide Pelle Anti Oscillazione Pesante Bag Set con Guantoni Supporto Muro, Arti Marziali Pugilato Muay Thai Kick Boxing Palestra Punch Sacchi."
17PBR-F6MR-5FT,B08MWTX4JD,UK,AMAZON.CO.UK,2022-08-01,"RDX Professional Anti Swing Filled 5FT 4FT Punch Bag Set, 7pc Maya Hide Leather Heavy Punching Bag with Gloves Wall Bracket Hanging Chains etc. Boxing"
17PBR-F6MR-DE-4FT,B08MWTSY7T,DE,AMAZON.DE,2022-10-15,"RDX Boxsack Gefüllt 7PC Set, 4ft 5ft Erwachsene Anti Schwerkraft Maya Hide Leder Punchingsäcke mit Boxhandschuhe Wandhalterung, Boxen Kampfsport Kickboxen Muay Thai MMA Training Bag, Heim Gym Fitness"
17PBR-F6MW-4FT,B08MWT1KF9,UK,AMAZON.CO.UK,2022-11-24,"RDX Professional Anti Swing Filled 5FT 4FT Punch Bag Set, 7pc Maya Hide Leather Heavy Punching Bag with Gloves Wall Bracket Hanging Chains etc. Boxing MMA Kickboxing Adult Home Fitness Gym"
17PBR-F6MW-ES-5FT,B08MWT2ZJK,ES,AMAZON.ES,2022-06-29,"RDX Saco de Boxeo Adulto Relleno 5ft 4ft, 17PC Cuero Maya Hide Anti Swing Punching Bag Set con Guantes, Soporte, Bolsa Pesada para Artes Marciales Mua"
17PBR-F6MW-IT-4FT,B08MWT1KF9,IT,AMAZON.IT,2022-11-13,"RDX Sacco da Boxe Pieno Adulti 5FT 4FT, 7PC Maya Hide Pelle Anti Oscillazione Pesante Bag Set con Guantoni Supporto Muro, Arti Marziali Pugilato Muay Thai Kick Boxing Palestra Punch Sacchi."
17PBR-F9RB-4FT,B076WWZ5XM,UK,AMAZON.CO.UK,2022-12-02,"RDX Professional Anti Swing Filled 5FT 4FT Punch Bag Set, 7pc Maya Hide Leather Heavy Punching Bag with Gloves Wall Bracket Hanging Chains etc. Boxing MMA Kickboxing Adult Home Gym Fitness"
17PBR-F9RB-5FT,B076X11C77,UK,AMAZON.CO.UK,2023-02-07,"RDX Professional Anti Swing Filled 5FT 4FT Punch Bag Set, 5pc Maya Hide Leather Heavy Punching Bag with Gloves Wall Bracket Hanging Chains etc. Boxing MMA Kickboxing Adult Home Gym Fitness"
2APR-F6MB-ES,B08N1JJZ7Q,ES,AMAZON.ES,2023-08-05,"RDX Thai Pads Paos Muay Thai Kick Boxing Entrenamiento, Maya Hide Cuero Boxeo Almohadilla, Kara Curvo Escudo Manoplas para MMA Kicking Sparring Artes"
13PBF1-F10-4FT,B08BFY8RPT,UK,AMAZON.CO.UK,2022-07-04,"RDX Punch Bag Anti Swing 5ft 4ft Heavy Filled 13PC Set, Maya Hide Leather Adult Bag with Ceiling Hook Punching Gloves Chains Wraps, Kickboxing Boxing"
13PBR-F10W-5FT-N,B076WXF9RF,UK,AMAZON.CO.UK,2022-07-01,"RDX Punch Bag Anti Swing 4ft 5ft Heavy Filled 13PC Set, Maya Hide Leather Adult Bag with Ceiling Hook Punching Gloves Chains Wraps, Kickboxing Boxing"
13PBR-F10W-IT-5FT,B076WXF9RF,IT,AMAZON.IT,2022-07-04,"RDX Sacco da Boxe Pieno Adulti 5FT 4FT, 13PC Maya Hide Pelle Anti Oscillazione Pesante Bag Set con Guantoni Gancio Soffitto, Arti Marziali Pugilato Ki"
13PBR-F6MB-DE-4FT,B08N1JHY38,DE,AMAZON.DE,2022-06-19,"RDX Boxsack Gefüllt 13PC Set, 4ft 5ft Erwachsene Anti Schwerkraft Maya Hide Leder Punchingsäcke mit Boxhandschuhe Deckenhaken, Boxen Kampfsport Kick"
13PBR-F6MGL-DE-4FT,B08N1HXXDW,DE,AMAZON.DE,2022-07-05,"RDX Boxsack Gefüllt 13PC Set, 4ft 5ft Erwachsene Anti Schwerkraft Maya Hide Leder Punchingsäcke mit Boxhandschuhe Deckenhaken, Boxen Kampfsport Kick"
13PBR-F6MGL-ES-4FT,B08N1HXXDW,ES,AMAZON.ES,2022-07-01,"RDX Saco de Boxeo Adulto Relleno 5ft 4ft, 13PC Cuero Maya Hide Anti Swing Punching Bag Set con Guantes, Gancio, Bolsa Pesada para Artes Marciales Muay"
13PBR-F6MR-DE-5FT,B08N1JCDHL,DE,AMAZON.DE,2022-06-24,"RDX Boxsack Gefüllt 13PC Set, 4ft 5ft Erwachsene Anti Schwerkraft Maya Hide Leder Punchingsäcke mit Boxhandschuhe Deckenhaken, Boxen Kampfsport Kick"
13PBR-F6MR-ES-4FT,B08N1HQDQL,ES,AMAZON.ES,2022-06-14,"RDX Saco de Boxeo Adulto Relleno 5ft 4ft, 13PC Cuero Maya Hide Anti Swing Punching Bag Set con Guantes, Gancio, Bolsa Pesada para Artes Marciales Muay"
13PBR-F9RB-4FT-DE,B076WW8HFY,DE,AMAZON.DE,2022-07-03,"RDX Boxsack Gefüllt 13PC Set, 5ft 4ft Erwachsene Anti Schwerkraft Maya Hide Leder Punchingsäcke mit Boxhandschuhe Deckenhaken, Boxen Kampfsport Kick"
13PBR-F9RB-4FT-N,B086XH5DTZ,UK,AMAZON.CO.UK,2022-07-04,"RDX Punch Bag Anti Swing 5ft 4ft Heavy Filled 13PC Set, Maya Hide Leather Adult Bag with Ceiling Hook Punching Gloves Chains Wraps, Boxing Kickboxing"
13PBR-F9RB-IT-5FT,B076X3DVV4,IT,AMAZON.IT,2022-07-05,"RDX Sacco da Boxe Pieno Adulti 4FT 5FT, 13PC Maya Hide Pelle Anti Oscillazione Pesante Bag Set con Guantoni Gancio Soffitto, Arti Marziali Pugilato Mu"
