marketplace_sku,asin,im_sku,region,SalesChannel,level_1,Linnworks Title,linnwork's_sku_received_from,Comment  
M-CGR-F6MB-L/XL-DE,B0B2PPWQ14,CGR-F6MB-L/XL+,DE,Amazon.de,CHEST GUARDS,CHEST GUARD F6 MATTE BLACK PLUS-L/XL,Kainaat Saleem,
M-CGR-F6MB-L/XL,B0B2PPWQ14,CGR-F6MB-L/XL+,UK,Amazon.co.uk,CHEST GUARDS,CHEST GUARD F6 MATTE BLACK PLUS-L/XL,Kainaat Saleem,
M-CGR-F6MB-S/M,B0B2Q3JQ2S,CGR-F6MB-S/M+,UK,Amazon.co.uk,CHEST GUARDS,CHEST GUARD F6 MATTE BLACK PLUS-S/M,Kainaat Saleem,
M-CGR-F6MB-S/M-DE,B0B2Q3JQ2S,CGR-F6MB-S/M+,DE,Amazon.de,CHEST GUARDS,CHEST GUARD F6 MATTE BLACK PLUS-S/M,Kainaat Saleem,
M-CGR-F6MGL-L/XL,B0B2PRBWDP,CGR-F6MGL-L/XL+,UK,Amazon.co.uk,ABANDONED ITEMS,CHEST GUARD F6 MATTE GOLDEN PLUS-L/XL,Kainaat Saleem,
M-CGR-F6MGL-S/M,B0B2PRD4BP,CGR-F6MGL-S/M+,UK,Amazon.co.uk,ABANDONED ITEMS,CHEST GUARD F6 MATTE GOLDEN PLUS-S/M,Kainaat Saleem,
M-CGR-F6MR-L/XL,B0B2PPSRCF,CGR-F6MR-L/XL+,UK,Amazon.co.uk,ABANDONED ITEMS,CHEST GUARD F6 MATTE RED PLUS-L/XL,Kainaat Saleem,
M-CGR-F6MR-S/M,B0B2PRLPLP,CGR-F6MR-S/M+,UK,Amazon.co.uk,ABANDONED ITEMS,CHEST GUARD F6 MATTE RED PLUS-S/M,Kainaat Saleem,
M-CGR-F6MR-S/M-DE,B0B2PRLPLP,CGR-F6MR-S/M+,DE,Amazon.de,ABANDONED ITEMS,CHEST GUARD F6 MATTE RED PLUS-S/M,Kainaat Saleem,
M-CGR-F6MU-L/XL,B0B2PQ96ZW,CGR-F6MU-L/XL+,UK,Amazon.co.uk,ABANDONED ITEMS,CHEST GUARD F6 MATTE BLUE PLUS-L/XL,Kainaat Saleem,
M-CGR-F6MU-L/XL-ES,B0B2PQ96ZW,CGR-F6MU-L/XL+,ES,Amazon.es,ABANDONED ITEMS,CHEST GUARD F6 MATTE BLUE PLUS-L/XL,Kainaat Saleem,
M-CGR-F6MU-L/XL-DE,B0B2PQ96ZW,CGR-F6MU-L/XL+,DE,Amazon.de,ABANDONED ITEMS,CHEST GUARD F6 MATTE BLUE PLUS-L/XL,Kainaat Saleem,
M-CGR-F6MU-S/M,B0B2PQ2TGK,CGR-F6MU-S/M+,UK,Amazon.co.uk,ABANDONED ITEMS,CHEST GUARD F6 MATTE BLUE PLUS-S/M,Kainaat Saleem,
M-CGR-F6MW-L/XL,B078GSZF91,CGR-F6MW-L/XL+,UK,Amazon.co.uk,ABANDONED ITEMS,CHEST GUARD F6 MATTE WHITE PLUS-L/XL,Kainaat Saleem,
M-CGR-F6MW-S/M,B078GV6FLJ,CGR-F6MW-S/M+,UK,Amazon.co.uk,ABANDONED ITEMS,CHEST GUARD F6 MATTE WHITE PLUS-S/M,Kainaat Saleem,
M-GGX-H1B-IT-L,B01F3QH10C,GGX-H1B-L+,IT,Amazon.it,GROIN GUARDS,GROIN GUARD SUPPORTER BLACK PLUS-L,Kainaat Saleem,
M-GGX-H1B-L,B01F3QH10C,GGX-H1B-L+,UK,Amazon.co.uk,GROIN GUARDS,GROIN GUARD SUPPORTER BLACK PLUS-L,Kainaat Saleem,
M-GGX-H1B-DE-LARGE,B07HFCM3SF,GGX-H1B-L+,DE,Amazon.de,GROIN GUARDS,GROIN GUARD SUPPORTER BLACK PLUS-L,Kainaat Saleem,
